CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
151,6,2,1,3,4,1,4,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,5,2,2,4,3,2,2,2,2,2,2,2,2,3
152,5,1,1,5,5,1,5,4,6,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,2,1,1,1,1,1,1,1,4
153,7,7,6,5,7,5,7,5,7,5,2,2,1,2,3,2,1,1,1,1,1,1,2,5,5,6,3,4,3,2,3,2,2,1,4,2,2,1,4
154,7,5,6,6,6,6,6,7,6,7,2,2,4,3,3,4,2,3,3,2,3,2,5,7,5,6,1,7,6,6,2,5,5,6,3,5,6,6,7
155,7,7,5,5,7,7,7,5,5,6,1,2,1,1,2,1,1,1,2,1,1,1,3,3,7,6,7,3,4,3,5,2,2,2,2,4,2,2,3
156,6,6,5,5,5,5,5,5,5,4,2,2,1,1,2,2,1,1,1,1,1,1,2,2,5,3,3,1,3,3,2,2,2,2,2,2,2,2,3
157,6,6,5,5,6,6,6,5,5,5,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,4,3,3,3,3,4,4,3,3,3,3,3,3,3
158,3,4,4,3,5,4,5,4,3,3,2,2,1,1,2,1,1,1,1,1,1,1,2,5,6,2,3,3,3,3,2,2,2,2,3,2,2,2,4
159,2,3,2,5,5,5,5,5,5,5,2,2,1,2,2,2,1,1,1,1,1,1,2,5,3,4,2,4,3,3,3,3,3,3,5,3,3,3,3
160,5,6,5,5,5,5,5,4,6,4,2,2,1,1,2,1,1,1,2,1,1,2,2,2,5,3,5,2,2,2,2,2,3,3,4,2,2,2,3
161,5,3,2,3,7,6,7,5,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4
162,6,6,5,6,5,5,5,3,6,4,3,5,5,5,5,1,3,5,1,4,4,5,3,3,1,2,1,1,3,3,3,3,3,5,2,3,2,2,5
163,5,4,3,5,6,4,5,5,5,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3
164,7,6,3,7,6,6,6,5,5,3,2,2,2,2,3,4,1,2,1,1,1,2,2,2,3,4,3,1,2,3,3,3,2,3,4,2,2,4,4
165,5,5,5,6,6,5,5,5,4,5,2,2,1,1,1,1,1,1,1,1,1,1,3,5,6,2,5,5,3,3,3,3,3,3,5,3,3,3,3
166,1,3,4,6,3,3,3,5,4,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2
167,5,5,5,5,5,3,5,4,4,3,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2
168,6,6,4,5,6,6,6,4,4,3,2,2,1,1,2,1,1,1,1,1,1,1,2,5,6,4,3,2,2,3,2,2,2,2,3,2,2,2,3
169,3,4,2,3,3,4,6,3,3,3,2,2,2,2,2,2,1,1,2,1,2,2,2,5,5,4,5,5,5,4,5,3,4,3,3,3,3,3,5
170,6,7,3,5,6,7,6,6,5,3,2,1,2,2,2,1,1,1,1,1,1,2,1,1,6,3,3,2,2,1,2,2,1,2,3,2,2,2,3
171,5,2,5,4,2,1,6,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,7,3,6,1,2,4,3,2,2,2,2,2,2,2,3
172,5,3,5,5,6,4,5,5,5,4,2,1,1,1,3,2,1,1,1,1,1,1,1,5,4,4,3,4,4,5,3,2,2,2,3,3,3,2,5
173,3,2,2,5,5,1,3,5,5,6,2,1,1,1,1,2,1,1,1,1,1,1,2,2,6,4,4,2,2,2,2,2,2,4,2,2,2,4,5
174,5,5,4,6,6,3,6,5,4,3,2,2,2,2,3,2,1,1,1,1,1,1,2,2,5,5,3,2,3,4,3,2,3,3,3,2,2,3,3
175,7,7,7,7,7,6,7,7,5,7,3,4,2,3,3,5,2,5,2,4,2,1,6,6,2,6,5,7,6,6,3,6,6,4,5,7,6,4,7
176,7,7,7,7,7,7,7,5,7,5,3,2,1,1,2,2,1,1,2,1,1,2,3,7,5,6,4,7,6,6,3,2,2,2,5,6,3,3,6
177,5,4,4,4,5,6,5,4,4,4,2,2,2,1,2,1,1,2,1,1,2,1,2,2,5,3,3,2,3,3,3,3,3,3,4,3,4,3,4
178,1,6,6,7,7,2,6,6,6,7,4,4,2,2,2,4,1,2,4,1,2,2,7,7,7,7,2,7,7,7,2,7,7,2,2,7,7,4,7
179,6,1,5,2,7,5,7,5,6,3,2,2,1,2,2,1,1,1,1,1,1,1,2,3,2,6,4,5,5,5,4,1,4,3,7,2,1,1,5
180,7,7,2,7,6,6,6,6,7,6,2,2,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,4,2,2,2,3
181,5,5,5,5,6,6,6,5,5,4,2,2,1,1,2,1,1,1,1,1,1,1,5,7,4,5,2,5,6,7,2,2,5,2,5,5,6,3,6
182,6,7,3,2,4,2,4,4,5,3,1,2,1,1,2,1,1,1,1,1,1,1,2,2,5,2,3,1,2,2,2,2,2,2,5,2,3,3,3
183,6,3,5,6,6,2,6,7,6,6,4,3,2,2,3,4,1,1,3,1,1,1,3,6,5,6,5,7,6,6,3,4,5,5,6,5,4,6,6
184,2,5,1,3,3,1,3,2,6,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2
185,3,1,3,6,7,6,6,6,6,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,7,2,2,2,2,5,2,2,2,1,1,2,2,1,2
186,3,5,2,2,2,2,5,4,3,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,5,2,2,1,1,2,2,2,2,2,5,2,2,1,3
187,6,6,5,7,7,6,7,6,4,6,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,6,2,2,3,6,2,3,4,2,2,3,2,2,6
188,5,4,2,4,6,2,6,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,2,5,4,4,2,2,3,3,2,2,4,2,4,3,3,4,3
189,3,4,4,5,5,2,3,3,5,4,2,2,1,1,1,2,1,1,1,1,1,1,3,4,4,5,4,4,3,4,5,2,3,2,4,3,3,4,4
190,7,7,5,6,7,6,7,7,7,2,2,2,1,2,2,2,2,1,2,1,2,1,3,5,5,4,3,4,5,4,3,3,4,4,3,4,3,4,6
191,6,6,2,5,5,2,5,5,4,4,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,2,1,1,2,2,1,1,3
192,7,7,6,6,6,6,6,6,5,6,3,3,2,3,4,4,4,4,3,3,3,3,7,7,7,4,5,6,6,2,3,6,6,6,4,7,6,7,7
193,7,6,7,7,7,6,7,7,7,7,5,5,4,4,5,5,3,4,2,4,2,4,6,6,6,7,4,7,7,7,1,4,7,4,2,7,7,3,7
194,7,7,6,3,6,6,6,6,3,5,3,2,1,1,2,1,1,1,4,1,1,2,5,5,1,2,1,5,6,2,2,1,2,2,6,2,2,2,2
195,1,1,5,5,5,2,3,7,3,5,2,2,2,1,1,1,1,1,1,1,1,2,2,2,6,5,5,2,1,3,2,1,1,1,4,1,1,1,4
196,1,1,1,7,7,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,2,1,2,2,2,1,2,2,4
197,3,5,4,6,7,6,6,5,6,5,2,2,1,1,2,1,1,1,1,1,1,1,2,5,4,4,3,5,3,5,3,3,3,3,4,5,3,3,3
198,5,5,4,5,5,2,3,5,3,4,2,2,1,2,2,1,1,1,2,1,1,1,2,4,6,5,4,2,4,5,2,2,2,2,4,2,2,4,4
199,7,5,4,7,7,4,7,7,7,5,2,2,1,1,2,3,1,2,1,1,2,1,2,2,5,4,2,2,2,2,2,2,2,3,4,2,3,2,3
200,7,7,7,7,7,7,7,7,7,7,5,5,5,1,5,4,1,1,1,1,1,1,4,6,1,4,2,5,6,2,1,4,4,2,1,4,4,4,6
201,3,6,4,5,5,3,5,5,5,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,7,2,3,1,1,1,2,1,2,1,2,2,2,1,3
202,5,3,3,4,5,5,5,5,5,5,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,2,1,1,3,1,2,1,2
203,7,7,4,7,7,7,7,5,4,2,2,2,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,4
204,5,6,3,7,6,4,7,6,7,7,2,2,2,1,1,2,1,1,2,3,1,1,1,2,1,5,1,1,1,4,4,1,2,2,2,1,2,2,4
205,7,7,7,7,7,6,7,7,7,7,4,5,4,3,4,5,4,4,5,1,3,2,5,7,2,2,2,6,6,2,2,4,6,4,4,6,6,6,4
206,2,2,2,4,5,3,5,5,5,2,1,1,1,1,3,1,1,1,1,1,1,1,2,3,5,6,3,2,3,5,4,2,2,3,5,2,2,3,5
207,3,2,4,4,4,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3
208,3,5,5,6,5,4,5,5,3,5,2,1,2,1,1,1,1,1,1,2,1,1,2,2,7,3,3,2,2,2,2,1,1,3,3,3,3,5,3
209,6,6,4,6,7,6,7,7,6,4,3,2,1,1,2,2,1,1,1,1,1,1,3,3,5,4,3,3,3,3,6,3,3,3,6,3,3,2,5
210,2,2,2,2,4,2,4,3,4,3,2,2,1,1,1,2,1,1,1,1,1,1,2,1,6,2,5,1,2,3,2,2,2,2,2,2,4,4,4
211,5,4,3,5,6,3,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,1,2,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3
212,7,7,5,6,7,7,7,5,4,4,2,1,1,2,3,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,2,2,1,1,2,1,1,1,3
213,5,5,4,5,4,3,3,3,3,3,3,2,1,1,3,1,1,1,2,1,1,1,2,1,1,2,1,1,2,3,2,2,2,1,1,2,2,1,3
214,5,3,3,4,5,3,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,2,2,2,1,2,2,2,2
215,4,2,2,5,4,3,5,5,5,5,1,1,1,2,2,1,1,1,1,1,1,1,3,5,5,5,2,2,3,3,2,2,2,2,3,2,2,3,2
216,6,3,2,6,6,5,6,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
217,5,6,6,6,6,5,6,4,4,5,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2
218,4,3,2,4,5,3,5,6,4,4,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3
219,6,4,3,5,6,4,5,4,6,3,2,1,1,1,3,1,1,1,1,1,1,1,2,2,5,4,3,4,3,4,2,2,2,1,4,2,2,1,4
220,6,6,6,6,7,6,7,7,3,7,3,2,4,4,3,2,2,2,2,1,1,1,5,5,2,5,4,5,4,6,3,3,4,3,3,5,2,3,6
221,6,7,2,6,6,5,6,1,6,3,2,1,1,1,2,2,1,1,1,1,1,2,2,3,5,2,2,3,3,2,2,3,2,2,2,1,2,2,3
222,5,5,5,7,6,6,6,5,5,6,2,2,2,2,3,2,1,1,1,1,1,1,1,2,1,3,2,2,2,3,2,1,2,2,2,1,2,2,6
223,6,5,5,7,7,6,6,6,6,6,3,3,3,3,3,2,1,2,2,1,2,1,3,5,2,4,2,5,4,4,3,3,3,3,5,4,5,4,6
224,5,5,5,5,5,5,5,5,5,3,2,2,1,1,2,1,1,1,1,1,2,1,2,2,3,3,3,5,2,2,2,2,2,2,2,3,2,2,2
225,4,4,2,3,3,3,3,3,4,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
226,2,3,2,5,6,3,4,4,4,4,2,1,1,1,2,2,1,1,1,1,1,1,2,3,6,4,5,2,3,3,2,2,3,2,2,2,2,2,3
227,7,7,5,5,7,6,5,6,3,3,2,2,1,3,2,2,1,1,1,1,1,1,2,4,6,3,2,2,3,3,3,2,2,2,4,4,2,2,4
228,5,5,5,3,5,5,5,5,4,3,2,2,3,3,2,2,2,3,2,3,2,1,1,5,5,3,2,3,4,4,3,2,2,3,2,2,2,2,3
229,3,2,1,2,3,1,2,6,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,3,2,2,4,4,4,4,4,4,4,3,4,4,4,5
230,2,6,3,7,7,5,6,6,6,6,4,3,1,2,5,3,1,2,2,1,2,2,2,2,2,4,1,2,3,6,3,3,3,2,2,5,2,2,4
231,7,7,7,7,7,5,7,7,7,7,4,4,4,2,4,4,1,2,4,1,2,1,7,7,2,6,5,7,7,7,1,6,7,6,6,7,6,7,7
232,7,6,5,7,7,6,6,6,6,3,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,4
233,5,5,5,6,6,5,5,4,2,5,2,2,1,2,2,1,1,1,1,1,1,1,4,5,5,5,5,5,5,6,5,2,3,3,5,4,2,3,5
234,6,6,2,5,5,4,5,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,5,1,2,3,4,2,2,2,2,1,2,2,5
235,7,7,3,5,6,5,7,5,4,3,2,3,1,1,4,1,1,1,1,1,1,1,2,2,2,6,2,2,2,3,3,2,2,2,2,2,2,2,5
236,7,7,5,6,6,2,6,6,7,4,4,4,3,2,3,2,1,2,1,3,1,1,5,6,7,6,4,7,6,7,4,5,6,6,3,6,6,4,6
237,6,6,5,5,7,6,7,5,6,3,2,2,1,2,2,1,1,1,1,1,1,1,2,5,6,3,5,2,2,2,2,2,2,2,2,2,2,1,5
238,5,5,2,5,5,5,6,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,3,2,2,3,3,3,3,2,2,4,2,2,2,5
239,5,5,5,6,6,4,5,5,6,4,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,3,3,3,3,2,2,2,1,3,2,3,5
240,7,7,5,7,7,6,7,6,6,5,2,2,2,2,2,2,1,2,1,1,1,2,2,3,2,3,2,2,3,3,2,3,2,2,5,2,3,2,5
241,6,6,3,5,7,5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,5,1,1,3,3,2,1,3,3,2,3,3,3,5
242,5,6,3,3,6,5,5,3,3,1,2,2,1,1,3,2,1,1,1,1,1,1,2,2,1,2,1,3,2,1,4,2,2,2,2,2,2,1,3
243,4,5,5,6,7,2,6,6,4,5,1,1,1,1,2,1,1,1,1,1,1,1,1,2,6,4,3,2,2,2,2,2,2,2,2,2,2,1,2
244,6,7,6,6,7,6,6,5,5,5,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2
245,6,6,4,6,6,5,6,6,6,4,3,3,1,1,3,3,1,1,1,2,1,1,2,2,5,4,3,2,2,3,3,2,2,3,2,3,3,5,3
246,6,5,2,4,6,2,4,5,3,4,2,1,1,1,1,1,1,1,2,1,1,1,2,3,6,5,4,2,3,3,3,3,2,3,1,2,2,2,3
247,6,6,6,7,7,7,7,7,5,6,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,3,1,1,2,7,2,2,2,2,1,2,3,2,7
248,1,7,2,1,1,3,2,2,2,2,2,1,1,1,2,3,1,1,1,1,1,1,2,2,5,2,2,5,1,1,1,1,1,1,1,1,1,1,3
249,1,2,5,6,7,6,6,5,4,5,5,5,4,2,3,4,1,1,2,2,1,2,5,7,1,7,6,7,6,7,6,4,5,3,2,6,4,5,6
250,6,6,4,5,7,5,6,4,4,4,4,4,1,2,4,2,1,2,2,1,1,1,5,7,3,4,6,5,5,4,3,3,5,3,3,4,3,2,5
251,5,5,3,4,5,5,5,5,5,5,2,2,1,2,3,3,1,1,1,1,1,2,3,3,5,4,3,4,3,3,3,4,3,3,5,3,3,3,4
252,5,6,2,4,5,6,5,5,3,3,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,2
253,6,7,5,6,7,6,6,4,6,3,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,2,1,2,3,2,2,2,2,2,2,2,2,3
254,6,5,3,5,6,4,7,4,5,3,4,1,1,1,1,2,1,1,3,1,1,1,6,6,7,7,6,3,6,6,6,4,6,4,3,5,4,5,6
255,2,4,2,2,5,5,5,5,3,5,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,3
256,3,5,2,2,5,3,4,4,3,2,1,1,2,1,2,2,1,1,2,1,1,1,3,5,7,4,5,5,3,4,4,2,3,3,3,2,2,2,4
257,6,6,2,3,3,3,5,4,6,4,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,5,1,3,4,5,3,1,5,1,2,3,1,2,5
258,3,5,3,4,5,2,4,5,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,6,5,5,1,1,2,2,1,1,2,2,1,1,1,3
259,2,2,3,6,5,6,6,4,4,5,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,6,2,4,2,5,4,2,3,3,2,3,2,2,5
260,3,4,4,4,4,3,4,6,4,5,2,1,1,2,4,3,1,1,2,1,1,1,2,3,5,3,4,3,2,3,3,2,2,2,5,3,2,2,4
261,4,3,1,6,6,2,5,5,6,2,2,1,1,2,3,2,2,2,1,1,1,1,2,6,5,2,2,4,3,3,2,2,2,3,2,3,2,1,5
262,6,4,5,6,6,3,6,4,5,3,1,1,1,1,2,1,1,1,1,1,2,1,2,3,6,4,3,3,2,5,3,2,2,3,3,5,2,3,5
263,7,7,6,7,7,4,6,5,4,5,4,4,4,3,4,3,1,4,4,1,1,2,7,7,6,7,7,7,6,6,3,4,6,7,4,4,4,4,7
264,5,5,2,3,5,2,5,6,5,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,2,2,1,1,1,1,2,1,2
265,1,1,1,7,2,1,1,6,4,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4
266,6,7,4,5,5,6,5,3,6,4,2,2,1,2,2,1,1,1,1,1,1,1,2,3,6,4,5,3,3,5,4,4,4,3,4,3,3,3,4
267,7,7,4,4,7,6,7,5,3,5,3,3,3,3,3,1,2,1,3,1,2,1,3,5,1,4,1,4,4,7,4,2,4,1,4,2,4,4,6
268,5,4,4,6,7,4,5,4,7,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,4,4,2,4,7,6,2,6,7,6,3,4,7,2
269,3,6,3,4,5,4,5,6,4,3,3,2,1,1,2,1,1,1,1,1,1,1,3,5,4,5,4,3,3,6,3,2,4,2,3,3,3,2,5
270,6,5,5,5,6,2,6,6,3,3,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
271,5,2,2,5,6,1,5,4,5,3,2,1,1,1,2,1,1,2,1,1,1,1,1,2,6,3,5,2,2,2,2,2,2,2,3,2,2,1,3
272,7,7,5,6,6,3,6,5,6,3,2,2,2,2,2,2,1,2,3,1,2,1,5,6,5,6,2,6,5,6,2,5,6,3,3,6,3,5,6
273,7,7,3,7,7,7,7,7,7,5,2,2,2,1,2,3,1,2,1,1,1,1,4,5,3,5,2,5,5,6,2,3,5,5,2,6,3,6,6
274,7,7,6,6,7,7,7,6,6,7,3,2,2,2,3,3,1,2,2,1,1,1,4,6,2,6,2,5,6,6,2,3,6,4,4,3,4,6,5
275,5,5,4,5,5,3,5,5,5,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,2,1,1,1,3,1,1,1,4
276,7,7,5,6,7,5,5,6,5,3,4,2,2,2,2,4,1,1,2,1,1,2,3,5,3,7,5,5,7,7,2,2,7,3,5,7,2,2,7
277,7,1,3,7,7,1,7,4,4,7,3,1,2,1,1,2,1,1,1,1,1,1,4,1,4,4,5,1,2,4,3,5,6,2,4,2,6,3,5
278,5,6,3,7,5,5,6,3,6,4,2,2,1,1,2,1,1,1,1,1,1,1,2,2,3,2,2,1,3,5,3,2,2,2,1,2,2,1,3
279,7,7,2,4,6,2,5,5,5,5,2,1,1,1,2,2,1,1,1,1,1,1,2,5,5,4,2,2,3,4,3,2,2,2,2,3,3,5,3
280,6,2,5,7,6,5,7,6,7,3,2,2,2,2,2,2,1,1,2,1,1,1,2,3,3,3,4,3,2,2,3,2,1,2,2,2,2,2,5
281,7,5,3,7,7,6,6,7,4,6,4,2,1,1,3,3,1,1,3,1,1,1,2,1,2,3,2,1,2,6,1,2,2,2,2,1,1,3,5
282,6,7,3,4,6,7,6,4,2,3,2,1,1,1,2,1,1,1,1,1,1,1,2,6,7,4,5,5,4,4,4,3,5,5,3,3,3,5,5
283,7,7,5,7,7,6,7,7,6,6,2,1,1,1,3,1,1,1,1,1,1,1,2,5,6,5,2,5,3,4,2,2,2,2,2,2,3,3,7
284,4,5,2,3,5,3,5,3,5,4,2,2,1,1,1,2,1,1,1,1,1,1,3,5,7,3,6,3,5,2,3,3,4,1,4,3,3,2,4
285,6,6,3,6,6,2,6,5,2,3,3,1,1,1,2,1,1,1,1,1,1,1,3,6,6,4,2,5,4,2,4,2,2,2,5,1,2,5,4
286,7,6,1,7,6,2,7,4,3,3,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,4,1,1,1,3
287,6,6,2,5,6,5,5,5,6,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,2,1,2,2,2,1,1,1,4,1,2,2,7
288,5,6,5,5,4,4,4,4,6,4,1,1,1,2,1,1,1,1,1,1,1,1,2,4,6,4,5,5,5,4,4,2,4,4,3,3,3,3,4
289,7,7,6,7,6,6,6,3,3,5,4,3,1,2,2,1,1,2,1,2,1,2,3,3,6,5,5,5,4,6,4,2,3,5,5,5,3,3,4
290,6,7,3,6,7,6,7,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,1,1,1,2,1,1,1,2,1,2,1,1
291,4,3,4,5,6,3,5,4,7,4,3,1,1,1,2,1,1,1,1,1,1,1,4,5,7,4,6,5,4,5,5,4,4,6,4,4,3,4,5
292,4,1,2,4,6,1,6,5,4,4,1,1,2,1,1,2,1,1,2,1,1,1,4,5,3,6,2,4,5,6,2,3,5,3,4,5,4,4,6
293,4,3,2,4,5,5,6,4,4,3,2,1,1,1,2,1,1,1,1,1,1,1,2,2,5,2,2,2,2,2,3,3,2,2,2,3,3,2,4
294,6,7,5,6,5,6,6,5,5,5,2,2,1,1,3,2,1,1,1,1,2,1,1,1,2,3,3,1,2,2,2,2,2,3,2,2,3,2,3
295,1,2,6,7,7,7,7,7,7,7,4,4,2,2,2,2,2,2,1,2,2,2,5,5,4,5,5,5,6,6,2,5,6,5,3,5,5,7,7
296,6,3,2,7,5,1,4,7,5,5,3,1,2,2,3,3,1,1,1,1,1,1,3,5,3,5,4,3,4,5,1,2,2,1,4,3,2,2,7
297,6,6,4,6,6,4,5,5,5,4,2,1,1,2,2,2,1,1,1,1,1,1,2,2,6,4,2,1,2,2,2,2,2,2,1,2,2,2,2
298,5,5,2,4,3,2,4,6,3,4,1,1,1,1,2,1,1,1,1,1,1,2,7,2,4,4,2,2,2,4,3,2,2,2,3,6,2,2,4
299,1,5,7,7,6,3,6,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,4,4,2,1,2,1,4,3,3,2,4,1,3,4,3
300,4,5,1,4,3,2,5,5,5,4,2,1,2,2,2,1,1,1,1,1,1,1,2,5,4,3,2,4,2,2,2,2,2,2,2,3,2,3,5
301,5,2,5,5,7,6,6,4,5,3,2,1,1,1,1,2,1,1,1,1,1,1,2,2,5,3,3,2,4,5,4,3,3,4,4,2,4,3,4
302,6,6,1,2,4,2,4,2,4,5,2,2,2,1,2,4,1,1,2,1,1,2,3,4,7,3,5,5,4,3,6,4,4,3,5,4,4,2,4
303,6,2,3,7,7,3,7,5,5,5,2,4,2,2,2,4,1,2,2,1,1,1,2,2,3,2,6,3,3,3,3,3,3,3,4,3,3,3,6
304,4,4,1,4,7,2,4,4,4,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,7,4,4,1,3,5,4,2,2,2,2,2,2,2,4
305,5,6,3,6,6,2,5,4,5,4,3,2,1,2,2,2,2,2,2,1,2,1,2,2,5,3,5,3,3,3,5,2,3,2,2,2,2,1,3
306,5,5,3,5,5,3,5,5,3,4,2,2,2,1,2,1,1,2,1,1,2,2,3,6,6,2,6,5,6,2,3,3,6,2,6,3,3,3,4
307,7,5,3,6,7,3,6,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,2,2,2,2,2,1,3,7,2,1,2
308,5,3,1,3,3,1,3,5,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,2,2,2,2,2,2,2,2,3
309,4,3,3,6,3,3,5,6,6,5,2,2,1,1,2,2,1,1,1,1,1,1,2,4,7,3,4,3,3,3,3,3,3,3,5,3,3,4,3
310,6,3,4,4,6,2,4,4,4,4,2,1,1,1,3,2,1,1,1,1,1,1,2,4,7,3,3,3,2,4,2,2,3,3,5,3,2,2,4
311,3,1,1,4,2,1,2,4,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,6,2,1,1,2,2,2,2,2,2,1,1,2,1,2
312,5,2,2,4,5,2,4,5,5,5,1,1,2,1,2,1,1,1,1,1,1,1,1,1,6,2,1,6,1,2,2,2,2,2,2,2,2,2,2
313,6,6,5,6,7,6,7,5,7,3,5,4,2,1,2,2,1,2,2,1,1,1,6,7,6,2,5,7,5,3,5,4,3,3,5,6,2,5,4
314,2,6,5,6,6,2,5,3,6,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,2,2,2,2,2,2,1,2,2,2,2,2,2,3
315,1,1,1,4,4,1,5,5,5,4,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2
316,7,7,7,7,7,7,7,7,7,7,3,1,1,1,2,1,1,2,3,1,1,1,2,2,5,3,1,1,3,2,2,2,6,1,5,3,1,1,3
317,6,6,3,5,6,4,6,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,4,3,2,2,4,4,2,2,2,4,2,2,2,4
318,3,2,6,6,6,3,6,7,4,6,3,2,1,2,2,1,1,1,2,1,1,2,3,5,4,4,5,5,4,4,4,3,3,4,4,4,4,4,4
319,5,5,5,4,5,5,4,2,2,2,2,2,1,1,3,1,1,1,1,1,2,1,3,5,5,5,2,2,4,3,3,3,3,2,3,3,3,2,4
320,6,7,5,7,7,6,7,1,7,6,4,3,2,2,3,4,2,2,1,1,1,2,5,3,2,6,5,5,6,5,5,5,5,4,5,4,3,3,5
321,6,3,4,4,5,5,5,4,4,4,2,2,1,2,2,1,1,1,1,1,1,1,2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,3
