CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
37,6,3,4,6,6,6,5,4,5,5,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,3
38,4,3,5,6,6,4,5,5,5,5,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4
39,1,1,1,5,5,1,3,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,1,1,3,2,1,1,2,1,1,1,1,2
40,6,6,5,6,6,6,6,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,2,2,4,2,2,2,2,2,2,2,6
41,4,5,4,6,5,5,5,6,6,5,2,2,2,2,2,2,2,2,2,1,1,2,2,2,5,3,2,2,3,3,3,3,3,4,4,3,3,4,4
42,7,7,3,7,7,7,7,7,5,5,2,1,1,1,2,1,1,1,1,1,1,1,2,2,5,3,2,3,3,2,2,3,2,2,2,2,2,3,5
43,2,6,7,6,7,6,6,7,5,6,2,2,1,1,2,3,1,1,1,1,1,1,2,5,7,3,4,2,2,3,3,1,2,1,2,2,2,1,2
44,6,7,5,6,6,5,5,5,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,1,2,2,2,1,2,2,1,2,2,2,3
45,1,1,5,7,7,7,7,6,7,1,3,3,3,2,3,2,1,2,3,2,2,2,2,2,6,3,2,2,3,3,3,3,3,2,5,3,3,2,4
46,1,1,2,2,1,1,2,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2
47,5,3,2,3,4,5,5,5,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
48,3,5,4,5,6,6,6,5,6,5,3,2,1,1,3,1,1,1,1,1,1,1,2,2,6,4,3,2,3,3,2,3,3,3,4,3,3,3,4
49,7,6,6,6,6,6,6,6,6,6,2,2,1,1,2,1,1,1,1,1,1,1,2,2,4,4,2,2,2,4,2,2,2,2,6,2,2,2,3
50,7,3,2,6,6,6,6,7,6,7,2,2,1,1,4,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4
51,1,1,1,5,5,1,1,5,4,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1
52,7,7,6,7,7,7,7,6,3,5,2,2,1,2,2,2,1,1,2,1,1,2,2,5,3,5,3,3,3,4,2,2,4,4,2,2,1,1,4
53,3,3,4,5,5,3,3,4,4,4,2,2,1,1,3,2,1,1,2,1,1,1,2,3,4,3,3,3,2,2,2,2,2,2,3,2,2,2,2
54,3,6,6,7,7,6,7,6,6,5,2,2,2,1,2,1,1,1,1,1,1,1,3,3,5,3,2,3,2,2,2,2,2,2,2,2,3,2,3
